gender,first_generation,underrepresented,avg_sleep_hours,daytime_sleep_minutes,sleep_midpoint_minutes,bedtime_variability,nights_tracked_fraction,prior_gpa,term_gpa
Female,0.0,0.0,6.17,11.7,500.3,0.05,0.931,4.0,3.76
Female,0.0,0.0,6.78,49.7,359.5,0.0476,0.862,4.0,3.55
Female,0.0,1.0,4.23,178.5,398.2,0.1639,0.586,3.0,3.59
Female,0.0,0.0,6.86,26.1,532.1,0.7854,0.931,3.8,3.46
Female,0.0,1.0,6.8,71.6,354.0,0.1538,0.931,3.17,3.5
Male,1.0,1.0,5.78,78.1,541.3,1.0689,0.724,2.37,2.54
Male,0.0,0.0,5.67,42.5,492.5,0.6244,0.759,3.4,3.5
Male,0.0,1.0,6.91,38.0,467.3,0.4093,0.931,2.53,2.4
Male,0.0,0.0,6.35,34.7,446.8,0.1745,0.966,2.79,3.37
Female,0.0,0.0,7.17,19.4,471.7,0.4159,0.828,4.0,3.61
Female,0.0,0.0,5.96,35.4,431.5,0.1069,0.862,4.0,3.44
Male,1.0,1.0,7.46,23.4,267.8,0.04,1.0,4.0,3.81
Female,0.0,0.0,6.7,52.9,444.3,0.0451,0.931,3.79,4.0
Female,0.0,0.0,5.26,18.5,436.2,0.1719,1.0,3.2,3.63
Female,0.0,0.0,6.13,10.6,425.3,0.1882,1.0,3.57,3.81
Female,0.0,0.0,6.11,35.6,406.2,0.6453,0.931,3.7,3.57
Female,0.0,0.0,7.59,23.5,434.1,0.1099,0.897,4.0,4.0
Female,0.0,0.0,5.51,40.3,551.2,0.7578,0.655,2.92,3.12
Female,0.0,0.0,6.78,11.0,391.4,0.3475,0.897,3.74,3.81
Male,0.0,0.0,5.84,32.0,349.4,1.24,0.793,3.29,3.39
Male,0.0,0.0,5.96,30.9,451.5,0.2978,0.759,3.59,3.38
Female,0.0,0.0,7.59,26.9,308.5,0.0242,0.966,3.48,2.98
Female,0.0,0.0,4.98,28.3,415.0,0.5407,0.724,4.0,4.0
Female,0.0,0.0,5.72,24.5,493.5,0.1737,0.897,3.07,4.0
Male,0.0,0.0,6.28,6.2,473.5,0.0854,1.0,3.48,3.46
Female,0.0,0.0,6.63,19.0,502.7,0.4645,0.379,4.0,4.0
Male,0.0,0.0,6.86,55.4,459.0,0.1208,0.828,3.77,3.57
Male,0.0,0.0,7.04,72.3,402.2,0.2994,1.0,3.22,3.58
Female,0.0,0.0,4.72,30.7,585.2,1.9888,0.621,3.81,3.56
Male,0.0,0.0,7.09,52.9,375.2,0.1063,1.0,3.74,3.81
Female,0.0,0.0,5.64,13.9,424.4,0.1341,0.966,3.4,3.81
Male,0.0,0.0,6.03,31.1,415.0,1.217,0.724,3.8,3.61
Female,0.0,0.0,7.12,46.2,487.5,0.1257,0.862,3.76,3.72
Female,0.0,0.0,6.63,58.8,374.6,0.1244,0.448,3.6,4.0
Female,0.0,0.0,6.9,47.1,408.0,0.1976,0.966,3.79,3.0
